mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__subsample,param_clf__reg_lambda,param_clf__n_estimators,param_clf__min_child_weight,param_clf__max_depth,param_clf__learning_rate,param_clf__gamma,param_clf__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.8945541381835938,0.053800727425385254,0.04149641990661621,0.00018668059644673127,0.5,1.0,800,1,9,0.07,0.5,0.9,"{'clf__subsample': np.float64(0.5), 'clf__reg_lambda': np.float64(1.0), 'clf__n_estimators': np.int64(800), 'clf__min_child_weight': np.int64(1), 'clf__max_depth': np.int64(9), 'clf__learning_rate': np.float64(0.07), 'clf__gamma': np.float64(0.5), 'clf__colsample_bytree': np.float64(0.9)}",0.41010933397128785,0.41446112161408,0.4289673010509357,0.4252787218733889,0.42778941715562424,0.42132117913306333,0.007599069536941516,5,0.8413009965592662,0.8453895097855584,0.8393141634330532,0.84213666762348,0.8402673836172406,0.8416817442037198,0.0020835212631833675
1.9330810070037843,0.1591076606122937,0.0372258186340332,0.002857863933651664,0.8,5.0,1400,2,6,0.05,2.0,0.5,"{'clf__subsample': np.float64(0.8), 'clf__reg_lambda': np.float64(5.0), 'clf__n_estimators': np.int64(1400), 'clf__min_child_weight': np.int64(2), 'clf__max_depth': np.int64(6), 'clf__learning_rate': np.float64(0.05), 'clf__gamma': np.float64(2.0), 'clf__colsample_bytree': np.float64(0.5)}",0.35456161748233855,0.35882447223159675,0.37375964772891995,0.3733036365183376,0.3846241803483688,0.3690147108619123,0.010929754968784088,49,0.5737312366868894,0.5761663264152227,0.5736291398043931,0.5761240341285417,0.5708856716409361,0.5741072817351967,0.0019522170163277098
2.3842631816864013,0.5382945537659665,0.039334440231323244,0.00037038679170354533,0.6,5.0,1200,5,5,0.05,2.0,0.8,"{'clf__subsample': np.float64(0.6), 'clf__reg_lambda': np.float64(5.0), 'clf__n_estimators': np.int64(1200), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(5), 'clf__learning_rate': np.float64(0.05), 'clf__gamma': np.float64(2.0), 'clf__colsample_bytree': np.float64(0.8)}",0.35489245468757646,0.36053649008867056,0.37226995429008414,0.3737859382710433,0.38331948844927655,0.36896086515733023,0.010092489610835791,50,0.5873643849323131,0.5883655061425073,0.5881192750204262,0.5852793542281772,0.584785823055288,0.5867828686757424,0.0014749665304804795
5.172562074661255,2.1503633618522584,0.07872252464294434,0.04414921978789039,0.8,2.0,1200,5,10,0.01,0.0,0.9,"{'clf__subsample': np.float64(0.8), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(1200), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(10), 'clf__learning_rate': np.float64(0.01), 'clf__gamma': np.float64(0.0), 'clf__colsample_bytree': np.float64(0.9)}",0.3697231033777365,0.3782322753983095,0.39300849329387966,0.3890337103562463,0.398999478497673,0.385799412184769,0.010510780653870377,31,0.6239440446944797,0.6296094748046175,0.6240448973746139,0.6301357406700545,0.6263331801310591,0.626813467534965,0.002645161605525186
1.9842098236083985,0.2198567992809178,0.038169574737548825,0.003928895580570315,0.8,0.0,800,1,8,0.02,2.0,0.6,"{'clf__subsample': np.float64(0.8), 'clf__reg_lambda': np.float64(0.0), 'clf__n_estimators': np.int64(800), 'clf__min_child_weight': np.int64(1), 'clf__max_depth': np.int64(8), 'clf__learning_rate': np.float64(0.02), 'clf__gamma': np.float64(2.0), 'clf__colsample_bytree': np.float64(0.6)}",0.3683146748865104,0.3829074259365708,0.3925692082835416,0.3876180687415819,0.3992241007906002,0.386126695727761,0.0104202107974402,30,0.6373169085691606,0.6415674218718334,0.6359485378257889,0.6415074833829438,0.6357222457655403,0.6384125194830533,0.002609266263970529
3.883217716217041,1.7808714246001018,0.04860477447509766,0.0028822056455374066,0.5,1.0,1800,1,10,0.07,2.0,0.6,"{'clf__subsample': np.float64(0.5), 'clf__reg_lambda': np.float64(1.0), 'clf__n_estimators': np.int64(1800), 'clf__min_child_weight': np.int64(1), 'clf__max_depth': np.int64(10), 'clf__learning_rate': np.float64(0.07), 'clf__gamma': np.float64(2.0), 'clf__colsample_bytree': np.float64(0.6)}",0.3886398862802161,0.4004127740522433,0.41255967149462947,0.40432926226206833,0.4091982825279264,0.40302797532341667,0.008300309085797436,18,0.7577437440302752,0.7595247625572354,0.755090673545569,0.7567123171320213,0.7564180754739415,0.7570979145478085,0.0014796330596314944
3.3549308300018312,0.11937914069984486,0.0518437385559082,0.0016234850755318044,0.7,2.0,2000,5,10,0.03,2.0,0.7,"{'clf__subsample': np.float64(0.7), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(2000), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(10), 'clf__learning_rate': np.float64(0.03), 'clf__gamma': np.float64(2.0), 'clf__colsample_bytree': np.float64(0.7)}",0.37728444192623567,0.38661103514853895,0.3963160141089225,0.39660626159918844,0.40880607513827105,0.39312476558423126,0.010597668505450106,23,0.6687728131455613,0.6712652322410182,0.6687181789577241,0.6710125132831295,0.6710716305995591,0.6701680736453984,0.0011646627771915695
3.443481969833374,0.03288064892742212,0.051291704177856445,0.0004351621235299342,0.5,2.0,1400,2,8,0.05,0.5,0.5,"{'clf__subsample': np.float64(0.5), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(1400), 'clf__min_child_weight': np.int64(2), 'clf__max_depth': np.int64(8), 'clf__learning_rate': np.float64(0.05), 'clf__gamma': np.float64(0.5), 'clf__colsample_bytree': np.float64(0.5)}",0.39870528179567605,0.39979482832828034,0.41899203384066086,0.4150824806247534,0.4179456776820988,0.4101040604542939,0.008960849524392243,12,0.7841023363826592,0.7861569023423722,0.7835437303948183,0.7849278265107144,0.783593627658802,0.7844648846578732,0.0009814575070174797
4.70030665397644,0.1334484446030018,0.06440353393554688,0.000418915107886308,0.5,2.0,2000,5,8,0.05,0.5,0.8,"{'clf__subsample': np.float64(0.5), 'clf__reg_lambda': np.float64(2.0), 'clf__n_estimators': np.int64(2000), 'clf__min_child_weight': np.int64(5), 'clf__max_depth': np.int64(8), 'clf__learning_rate': np.float64(0.05), 'clf__gamma': np.float64(0.5), 'clf__colsample_bytree': np.float64(0.8)}",0.39224270910145476,0.39630146669943955,0.409994668525185,0.4093743197753108,0.4153368056851241,0.40464999395730283,0.0088173847647316,17,0.792601504719547,0.7966135229444837,0.7924019527356017,0.7920256465165266,0.792324154369009,0.7931933562570337,0.0017200701094039158
2.178862285614014,0.029149026755033763,0.039576387405395506,0.002077212741262551,0.5,5.0,800,1,8,0.05,1.0,0.5,"{'clf__subsample': np.float64(0.5), 'clf__reg_lambda': np.float64(5.0), 'clf__n_estimators': np.int64(800), 'clf__min_child_weight': np.int64(1), 'clf__max_depth': np.int64(8), 'clf__learning_rate': np.float64(0.05), 'clf__gamma': np.float64(1.0), 'clf__colsample_bytree': np.float64(0.5)}",0.3777256489209592,0.39194684515459965,0.4047056042810662,0.405951889129527,0.4052288278417387,0.39711176306557816,0.01099271388209736,20,0.7041047044238843,0.7034679823426343,0.7008141438835028,0.7021197754786838,0.7006713903463001,0.702235599295001,0.001377898562116344
